Symbol,Series,Date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
YESBANK,EQ,22-Feb-2018,312.35,311.9,316.9,308.15,315.55,316.1,314.78,14787238,4654706376.35,141358,6790126,45.92
YESBANK,EQ,23-Feb-2018,316.1,316.45,326,316.45,323.4,323.45,323.08,11399732,3683079046.05,102159,5070100,44.48
YESBANK,EQ,26-Feb-2018,323.45,326.5,328.2,319.35,324.35,326.15,324.43,9225197,2992923945.15,90249,3503045,37.97
YESBANK,EQ,27-Feb-2018,326.15,325.3,334.25,325,326.35,327.15,329.41,15104405,4975517834.15,99022,6845025,45.32
YESBANK,EQ,28-Feb-2018,327.15,323,325.2,318.05,322.1,322.3,321.02,10985771,3526605291.1,103541,4799186,43.69
YESBANK,EQ,01-Mar-2018,322.3,322.1,326,318.35,320.1,321.05,323.54,7333939,2372831458.55,62668,3171199,43.24
YESBANK,EQ,05-Mar-2018,321.05,318.5,319,311.15,313.5,312.95,313.63,7973146,2500595387.35,106273,3068497,38.49
YESBANK,EQ,06-Mar-2018,312.95,317,320.5,309.85,310.9,312.15,316.43,8299126,2626120281.25,82913,2915689,35.13
YESBANK,EQ,07-Mar-2018,312.15,312,314.9,308,310,311.95,312.5,8420190,2631345033.7,75842,2743797,32.59
YESBANK,EQ,08-Mar-2018,311.95,312.3,313.25,294.7,308.85,308.55,302.69,24027679,7272936318.8,191839,6517578,27.13
YESBANK,EQ,09-Mar-2018,308.55,310,310.95,301.3,302.85,303.25,305.75,11596136,3545491916.1,97173,4638044,40
YESBANK,EQ,12-Mar-2018,303.25,305.2,314.5,301.35,313.55,311.15,305.35,12860205,3926880220.6,87721,6327184,49.2
YESBANK,EQ,13-Mar-2018,311.15,310,315.4,309.8,312.6,312.8,312.98,11436348,3579361065.8,93701,4643254,40.6
YESBANK,EQ,14-Mar-2018,312.8,311.8,321.9,308.2,318,318.85,316.65,12905495,4086519583.4,102326,3970367,30.76
YESBANK,EQ,15-Mar-2018,318.85,318.95,321,310.85,312,311.85,314.89,9999620,3148752607.25,79169,3235122,32.35
YESBANK,EQ,16-Mar-2018,311.85,312.4,316.85,310,314.5,312.9,313.89,17094363,5365790836.25,158616,10667055,62.4
YESBANK,EQ,19-Mar-2018,312.9,316,316.5,302.5,304.6,304.8,307.85,11267355,3468609591.1,117081,4093389,36.33
YESBANK,EQ,20-Mar-2018,304.8,303,305.8,299.7,303,302.4,303.19,9874137,2993742665.65,111797,4025479,40.77
YESBANK,EQ,21-Mar-2018,302.4,305,309.05,300.05,300.9,300.75,304.82,13383435,4079472477.45,135540,5721176,42.75
YESBANK,EQ,22-Mar-2018,300.75,301.8,303.7,295.75,297.4,298.25,299.7,19356591,5801194388.9,141530,10269368,53.05
YESBANK,EQ,23-Mar-2018,298.25,293,293.05,285,287.4,286.65,287.37,21617995,6212282233.6,203264,11297742,52.26
YESBANK,EQ,26-Mar-2018,286.65,286.5,304.9,286,304.85,303.35,295.58,24240033,7164931658.15,219153,9588163,39.56
YESBANK,EQ,27-Mar-2018,303.35,307,309.25,300.7,303.35,303.5,304.68,15267419,4651682305.55,148789,4947253,32.4
YESBANK,EQ,28-Mar-2018,303.5,300.15,307.5,299.1,306.05,304.85,303.28,14952643,4534790899,146755,7148120,47.81
YESBANK,EQ,02-Apr-2018,304.85,307,308.5,303.6,306.8,306.25,305.73,8844027,2703919698.25,100756,3176874,35.92
YESBANK,EQ,03-Apr-2018,306.25,306.45,314.2,304,313,313.1,312,10392997,3242568660.95,92925,3791311,36.48
YESBANK,EQ,04-Apr-2018,313.1,313,320,304,305,305.45,313.56,13516525,4238175546.4,134734,4730167,35
YESBANK,EQ,05-Apr-2018,305.45,311.8,315.6,307.8,314.7,313.05,311.52,11449637,3566815480.8,77410,3908889,34.14
YESBANK,EQ,06-Apr-2018,313.05,314.7,316,311.6,313.6,314.5,314.01,8598435,2700035729.4,85332,2878820,33.48
YESBANK,EQ,09-Apr-2018,314.5,316,319.9,314.4,315.8,316.25,316.93,14002415,4437841902.45,100138,7810227,55.78
YESBANK,EQ,10-Apr-2018,316.25,320.1,320.5,315,319.25,319.25,317.82,9976629,3170781256.2,95452,4118794,41.28
YESBANK,EQ,11-Apr-2018,319.25,320,320,310.5,312.4,312,314.17,9921987,3117208181.05,76261,4110856,41.43
YESBANK,EQ,12-Apr-2018,312,312.2,313.35,308,312.2,311.75,310.62,11359462,3528481395.4,121034,5119414,45.07
YESBANK,EQ,13-Apr-2018,311.75,312.6,314.45,305.7,310,309.55,311.24,12849690,3999379330.4,101167,6277664,48.85
YESBANK,EQ,16-Apr-2018,309.55,307,311.1,306.45,310.85,310.35,308.46,10808237,3333921180.6,82436,5955096,55.1
YESBANK,EQ,17-Apr-2018,310.35,311.9,313.35,307.25,308.4,307.9,309.96,12509310,3877347752.15,118506,6859334,54.83
YESBANK,EQ,18-Apr-2018,307.9,311,313.7,308.75,309.5,309.55,311.25,11323144,3524331092.15,101512,5011135,44.26
YESBANK,EQ,19-Apr-2018,309.55,311,319.5,309,318.5,318.5,315.07,13498117,4252867410.8,108731,5457985,40.44
YESBANK,EQ,20-Apr-2018,318.5,317.7,317.7,306.05,309,308.55,309.87,21800867,6755476103.8,179286,12473181,57.21
YESBANK,EQ,23-Apr-2018,308.55,310.9,317,309,314,313.05,314.33,10927239,3434809173.4,102364,3162197,28.94
YESBANK,EQ,24-Apr-2018,313.05,314,328.8,314,324.15,324,323.55,24392058,7892048785.15,175624,6759668,27.71
YESBANK,EQ,25-Apr-2018,324,323.75,328.5,317.45,325.15,325.25,324.53,15370686,4988248223.6,116264,3546440,23.07
YESBANK,EQ,26-Apr-2018,325.25,327.95,360.25,323.6,358.15,352.4,341.22,62364794,21280346760.3,378197,13109762,21.02
YESBANK,EQ,27-Apr-2018,352.4,365,369,345.1,348.65,348.9,355.21,52230752,18552856657,400840,14529410,27.82
YESBANK,EQ,30-Apr-2018,348.9,350.9,367.2,350.3,360.95,362,361.1,28400085,10255352529.45,212276,4431734,15.6
YESBANK,EQ,02-May-2018,362,361.95,364.7,351.7,354,354.25,357.51,13058846,4668690965.5,185687,4866850,37.27
YESBANK,EQ,03-May-2018,354.25,354,359.25,346.5,353.45,353.95,352.54,15431044,5440054297.4,174195,4117106,26.68
YESBANK,EQ,04-May-2018,353.95,354.5,357.75,344.2,345.65,345.1,349.14,12241946,4274194119.1,106283,3768563,30.78
YESBANK,EQ,07-May-2018,345.1,347.8,350,342.65,348,347.9,347.45,6781161,2356139151.5,83407,1442011,21.26
YESBANK,EQ,08-May-2018,347.9,350,353.95,340.5,344.05,343.3,346.57,11670852,4044809126.9,110666,3022367,25.9
YESBANK,EQ,09-May-2018,343.3,344.45,349.75,343.2,348.15,347.85,347.29,9802803,3404399971.25,79592,3516144,35.87
YESBANK,EQ,10-May-2018,347.85,350.95,350.95,342.65,343.2,344.65,346.85,7330619,2542609160.8,63069,1781625,24.3
YESBANK,EQ,11-May-2018,344.65,346.5,351.8,341.8,348.7,350.25,347.02,7642090,2651929608.2,76097,2162713,28.3
YESBANK,EQ,14-May-2018,350.25,350.8,353.8,343.1,345,344.8,348.02,7468232,2599094320.9,54504,1865999,24.99
YESBANK,EQ,15-May-2018,344.8,346,354.6,343.6,345.55,345.75,349.79,12805393,4479249021.25,164845,3272351,25.55
YESBANK,EQ,16-May-2018,345.75,344,356.45,342,349.55,349.75,349.83,12708109,4445662706.95,115675,3085777,24.28
YESBANK,EQ,17-May-2018,349.75,351.5,352,344,345.25,345.3,347.24,6702419,2327363165.15,71977,2198288,32.8
YESBANK,EQ,18-May-2018,345.3,346.5,348.8,343.1,346,345.5,345.93,8938377,3092076062.35,84820,3147759,35.22
YESBANK,EQ,21-May-2018,345.5,346,349.2,333.05,334.1,334.15,339.23,8748958,2967937649.3,76072,2248714,25.7
YESBANK,EQ,22-May-2018,334.15,334.1,340.75,331,334.5,334.7,334.81,10869535,3639254467.15,88016,3878189,35.68
YESBANK,EQ,23-May-2018,334.7,335,338.75,331.5,333.5,333.7,335.01,7738850,2592587049.95,85619,2524324,32.62
YESBANK,EQ,24-May-2018,333.7,336.7,337,325.6,331.85,330,331.8,8077461,2680095994.35,67734,2578318,31.92
YESBANK,EQ,25-May-2018,330,333,341.9,332,341.35,339.4,336.51,6957024,2341074875.4,82818,1577611,22.68
YESBANK,EQ,28-May-2018,339.4,341.5,348.25,340.75,344.6,345.2,344.85,8982939,3097757130.2,89311,3816239,42.48
YESBANK,EQ,29-May-2018,345.2,344.4,345.9,335.1,338.35,338.05,340.22,7870400,2677634023,90210,2847660,36.18
YESBANK,EQ,30-May-2018,338.05,335.75,344,332.65,343.9,343.15,340.26,10036644,3415067375.4,118387,3133451,31.22
YESBANK,EQ,31-May-2018,343.15,345.4,349.4,338,346.35,346.2,343.67,17910411,6155329938.4,170815,8056699,44.98
YESBANK,EQ,01-Jun-2018,346.2,347,348.7,340.25,342.65,342.7,343.89,9470256,3256722182.85,108594,4171644,44.05
YESBANK,EQ,04-Jun-2018,342.7,343.9,350.9,342,343,342.95,346.17,14501600,5020037022.75,140585,5678574,39.16
YESBANK,EQ,05-Jun-2018,342.95,342.5,342.75,333.65,336.75,336.75,337.1,8492155,2862703318.9,87287,2842218,33.47
YESBANK,EQ,06-Jun-2018,336.75,337.95,340.55,332.55,339,339.15,337.05,8211104,2767537944.35,105210,1837789,22.38
YESBANK,EQ,07-Jun-2018,339.15,341.2,345.5,338,339.5,339.55,342.7,9630695,3300459990.6,87353,3600400,37.38
YESBANK,EQ,08-Jun-2018,339.55,337.5,340.25,335.05,337.9,337.65,337.37,5851442,1974107335.65,58491,1469941,25.12
YESBANK,EQ,11-Jun-2018,337.65,338.6,344.85,334.7,335.4,335.7,339.31,11980621,4065150524.25,95201,5595770,46.71
YESBANK,EQ,12-Jun-2018,335.7,335.7,337.95,331.2,333.4,332.2,334.14,9851496,3291783494.6,82574,4943411,50.18
YESBANK,EQ,13-Jun-2018,332.2,336.9,336.9,331.5,333.05,333.2,333.89,7530350,2514343126.2,69858,2993624,39.75
YESBANK,EQ,14-Jun-2018,333.2,333,338.35,330.55,336.5,337.2,335.03,6819965,2284868985.95,59688,1710745,25.08
YESBANK,EQ,15-Jun-2018,337.2,333,336.2,328.65,331.25,330.65,331.83,8518379,2826657345.25,117709,3866230,45.39
YESBANK,EQ,18-Jun-2018,330.65,330.8,333.85,327.7,331.6,331.65,331.47,6785348,2249127125.55,86256,3182548,46.9
YESBANK,EQ,19-Jun-2018,331.65,330.95,334.5,328.5,330.9,330.9,331.57,8566372,2840390692.95,81995,4464304,52.11
YESBANK,EQ,20-Jun-2018,330.9,331.9,337,331.4,335.6,336.1,335.12,7720519,2587300700.15,86050,2748257,35.6
YESBANK,EQ,21-Jun-2018,336.1,336.8,337.6,331.2,333.2,332.95,334.13,5133865,1715360336.6,68151,1877903,36.58
YESBANK,EQ,22-Jun-2018,332.95,333.6,335.7,329.5,334.75,335.1,332.49,6006046,1996954585.15,77611,2758146,45.92
YESBANK,EQ,25-Jun-2018,335.1,334.75,338.95,332.9,333.3,334.15,336.04,5792052,1946346790.55,69200,2025577,34.97
YESBANK,EQ,26-Jun-2018,334.15,333.1,337.75,332.05,335.6,335.95,335.4,4706265,1578489111.5,51633,1460576,31.03
YESBANK,EQ,27-Jun-2018,335.95,336,337.75,331.05,334.4,335.6,334.57,6930662,2318785094.85,81792,3176378,45.83
YESBANK,EQ,28-Jun-2018,335.6,336.4,336.4,327.3,329.05,329.3,330.86,8130250,2689940923.3,102709,2914279,35.84
YESBANK,EQ,29-Jun-2018,329.3,330.7,341.75,329.65,339.2,339.65,336.86,8963268,3019347593.85,92493,3481580,38.84
YESBANK,EQ,02-Jul-2018,339.65,338.05,341.7,332.35,337,337.05,336.02,8091469,2718906644.5,91962,3069412,37.93
YESBANK,EQ,03-Jul-2018,337.05,337.7,340.5,335.3,337.05,336.9,337.78,4998778,1688470106.45,97773,1434867,28.7
YESBANK,EQ,04-Jul-2018,336.9,337,337.5,332.5,335.6,335.55,334.77,4507001,1508830069.35,56859,1446249,32.09
YESBANK,EQ,05-Jul-2018,335.55,338.75,350.8,338.6,348.6,348.65,346.28,21239763,7354863367.5,160360,4647479,21.88
YESBANK,EQ,06-Jul-2018,348.65,348.3,357.7,347,351.65,352.6,353.52,17790500,6289284503.05,166942,6328540,35.57
YESBANK,EQ,09-Jul-2018,352.6,356.1,366.9,355,362.85,363.3,362.54,16834621,6103200032.8,169220,5266237,31.28
YESBANK,EQ,10-Jul-2018,363.3,363.9,373.1,360,372.9,371.4,367.88,20404168,7506299031.5,195311,8086602,39.63
YESBANK,EQ,11-Jul-2018,371.4,370.95,373.35,367.45,370.6,371.6,370.45,9423127,3490812189.2,125244,2389203,25.35
YESBANK,EQ,12-Jul-2018,371.6,372.5,385,372.5,373.5,374.8,379.74,17868601,6785499081.5,154266,3879807,21.71
YESBANK,EQ,13-Jul-2018,374.8,376.9,380.3,367.3,376.9,376,374.38,15448753,5783721815.8,149378,4005892,25.93
YESBANK,EQ,16-Jul-2018,376,376,380.8,369.6,379.8,378.5,374.02,9093938,3401270082.4,94410,3329217,36.61
YESBANK,EQ,17-Jul-2018,378.5,377.9,385.9,375.6,380.1,380.8,381.55,12586691,4802493399.45,131505,5149213,40.91
YESBANK,EQ,18-Jul-2018,380.8,381.9,388,378,384.5,383.65,383.63,10472260,4017440767.35,93225,2427503,23.18
YESBANK,EQ,19-Jul-2018,383.65,380.95,394.35,379.4,392.6,392.3,389.81,17050256,6646375416.45,168264,7249040,42.52
YESBANK,EQ,20-Jul-2018,392.3,391.1,392.5,385.3,386.25,386.5,388.36,10076070,3913158633.25,98847,3070243,30.47
YESBANK,EQ,23-Jul-2018,386.5,387.9,392.35,382.75,387.65,386.6,386.96,9511403,3680549576.2,94405,3997776,42.03
YESBANK,EQ,24-Jul-2018,386.6,389.2,390,382.7,384.35,384.35,385.36,9785989,3771134199.2,88253,5026596,51.37
YESBANK,EQ,25-Jul-2018,384.35,386,392.7,381.5,383.25,382.9,387.76,12467278,4834326478.4,111673,4037682,32.39
YESBANK,EQ,26-Jul-2018,382.9,385,386.3,358.55,367.45,369.75,373.06,35251243,13150936619.45,294017,8166967,23.17
YESBANK,EQ,27-Jul-2018,369.75,374.9,374.9,362.4,369.8,370,368.26,17100821,6297487528.7,163915,4161354,24.33
YESBANK,EQ,30-Jul-2018,370,372,373,365.25,369.5,369.3,369.18,11469162,4234232671.3,176154,4721410,41.17
YESBANK,EQ,31-Jul-2018,369.3,370,374.7,366.4,367.3,367.95,370.48,9734450,3606427688.4,98886,3476946,35.72
YESBANK,EQ,01-Aug-2018,367.95,369.9,371.55,362,364.05,365.85,365.7,7742871,2831550745.5,105511,2844357,36.74
YESBANK,EQ,02-Aug-2018,365.85,364.95,365.65,356.65,361.8,361.8,360.9,8365895,3019271960.75,94009,3314215,39.62
YESBANK,EQ,03-Aug-2018,361.8,364,374,364,373.05,373.2,370.79,10625834,3939952301.05,96873,2961764,27.87
YESBANK,EQ,06-Aug-2018,373.2,374,380.7,373.45,377.35,377.9,377.63,12018227,4538387840.8,124181,4306404,35.83
YESBANK,EQ,07-Aug-2018,377.9,380,386.4,376.5,381.3,381.65,381.84,13526041,5164819929.2,133116,4516142,33.39
YESBANK,EQ,08-Aug-2018,381.65,382.6,385.75,379.55,381.75,382.75,383.44,6767532,2594969398,64913,2149910,31.77
YESBANK,EQ,09-Aug-2018,382.75,383.5,384.7,377.65,380.9,381.05,380.58,5854134,2227988917.75,63711,1656510,28.3
YESBANK,EQ,10-Aug-2018,381.05,382,391,381,382,382.85,387.62,13916077,5394104779.7,123555,2664820,19.15
YESBANK,EQ,13-Aug-2018,382.85,379,383,368.3,369,370.7,375.67,9205915,3458374489.25,115130,3685591,40.04
YESBANK,EQ,14-Aug-2018,370.7,369,384.3,368.15,383.5,382.5,377.97,12351125,4668398776.65,89048,3851466,31.18
YESBANK,EQ,16-Aug-2018,382.5,381.2,384.85,374.2,378.95,378.45,380.23,11567658,4398356276.3,131634,3712427,32.09
YESBANK,EQ,17-Aug-2018,378.45,382.4,395.65,380.3,394.75,393.2,389.55,16094026,6269431740.4,160736,5712507,35.49
YESBANK,EQ,20-Aug-2018,393.2,396.8,404,392.55,394,394,398.73,15247130,6079520894,167906,3498504,22.95
YESBANK,EQ,21-Aug-2018,394,396,397.45,389.5,392,391.35,392.67,9991245,3923219896.7,168597,4117742,41.21
YESBANK,EQ,23-Aug-2018,391.35,395.25,395.5,383.35,390.7,388.6,388.74,9262319,3600660670.2,121268,3241167,34.99
YESBANK,EQ,24-Aug-2018,388.6,387,388.7,372.85,374.05,374.2,378.84,16301075,6175554482.5,151303,6584057,40.39
YESBANK,EQ,27-Aug-2018,374.2,378,384.65,377,383.35,383,382.35,9563369,3656564791.65,111846,3160232,33.05
YESBANK,EQ,28-Aug-2018,383,386,386,362.8,370.6,370.6,371.57,26309238,9775748804.3,239042,9590138,36.45
YESBANK,EQ,29-Aug-2018,370.6,373.65,378.55,362,366,365.15,370.75,30544751,11324370673.1,253230,10194220,33.37
YESBANK,EQ,30-Aug-2018,365.15,369,369,358,360.9,361.75,361.21,28157288,10170595010.45,234365,12187646,43.28
YESBANK,EQ,31-Aug-2018,361.75,343,350,336.25,343,343.5,343.58,84019022,28867093573.45,756758,33828711,40.26
YESBANK,EQ,03-Sep-2018,343.5,347.95,348,337.2,338.3,339.05,343.21,26137760,8970860648.65,231131,11106969,42.49
YESBANK,EQ,04-Sep-2018,339.05,340.75,343.4,332.55,333.5,334.05,337.27,22057643,7439453003.7,205971,6552853,29.71
YESBANK,EQ,05-Sep-2018,334.05,332.9,344.9,332.25,344.05,343.8,339.18,24809578,8414837234.45,200611,8214844,33.11
YESBANK,EQ,06-Sep-2018,343.8,346.55,347.8,337.9,339.1,339.2,342.4,17527530,6001339480.75,141838,5111245,29.16
YESBANK,EQ,07-Sep-2018,339.2,341,341.05,321.8,323.65,323.4,327.42,48830425,15987938255.95,419207,16953864,34.72
YESBANK,EQ,10-Sep-2018,323.4,323.65,328.9,316,322.95,323.65,323.55,43295622,14008177104.8,356509,12029596,27.78
YESBANK,EQ,11-Sep-2018,323.65,326,327.85,314.6,316,316.6,321.37,28553718,9176333805,221735,8985690,31.47
YESBANK,EQ,12-Sep-2018,316.6,318,319.95,310.6,314,314.3,314.77,26121445,8222260588.3,200641,6699052,25.65
YESBANK,EQ,14-Sep-2018,314.3,318.5,328.5,316.7,322.4,323.1,324.08,36624891,11869215488.55,256299,13502445,36.87
YESBANK,EQ,17-Sep-2018,323.1,317.5,321.85,315.95,317.5,318.6,319.03,18554055,5919221302.95,138363,3127415,16.86
YESBANK,EQ,18-Sep-2018,318.6,319.35,328.95,319.1,324.6,323.55,325.02,30243505,9829705223.85,224102,9940069,32.87
YESBANK,EQ,19-Sep-2018,323.55,326,328.75,318.05,318.6,319.2,322.56,16185496,5220812878.4,138437,3794363,23.44
YESBANK,EQ,21-Sep-2018,319.2,287.3,287.3,218.1,225.15,226.5,245.7,293552756,72127234027.15,1788274,115740552,39.43
YESBANK,EQ,24-Sep-2018,226.5,236.5,237.5,215.85,225.75,226.4,227.37,105701372,24033794384.25,685460,37314423,35.3
YESBANK,EQ,25-Sep-2018,226.4,230,238.85,197.25,220.5,219.7,223.09,110217421,24588772625.05,832786,27576218,25.02
YESBANK,EQ,26-Sep-2018,219.7,223,229.8,217,223.7,223.75,224.65,62814786,14111350860.35,451242,19163545,30.51
YESBANK,EQ,27-Sep-2018,223.75,226,227,202.05,203.6,203.25,210,91197198,19150976725.9,647010,33844085,37.11
YESBANK,EQ,28-Sep-2018,203.25,203.6,204,165,184.1,183.65,184.54,148654874,27432929748.9,957046,42234733,28.41
YESBANK,EQ,01-Oct-2018,183.65,180,203.8,170.6,199.85,200.85,190.13,130992623,24906273973.8,742369,39202955,29.93
YESBANK,EQ,03-Oct-2018,200.85,205,222.95,202.25,212.15,212.75,214.85,97945695,21043941602.2,595714,27041055,27.61
YESBANK,EQ,04-Oct-2018,212.75,209.4,220,205.05,214.3,215,214.3,65604016,14059052703.9,425632,14525270,22.14
YESBANK,EQ,05-Oct-2018,215,215,218.5,203.1,203.95,206,211.7,40546788,8583565105.8,334113,9679844,23.87
YESBANK,EQ,08-Oct-2018,206,210,226.6,207.4,221.75,221.2,217.7,62349640,13573279169.25,445735,14391304,23.08
YESBANK,EQ,09-Oct-2018,221.2,225.5,233.8,222.6,225.45,224.65,228.61,49480210,11311479371.4,362570,12184787,24.63
YESBANK,EQ,10-Oct-2018,224.65,229,237,219.4,234.85,233.9,230.05,52351177,12043211872.9,376406,14023559,26.79
YESBANK,EQ,11-Oct-2018,233.9,222,268.95,216.65,241,240.2,243.53,94679663,23057029949.25,665099,22853563,24.14
YESBANK,EQ,12-Oct-2018,240.2,247,254.4,244.5,245.65,246.45,248.69,43535321,10826756895.5,308158,12549767,28.83
YESBANK,EQ,15-Oct-2018,246.45,248.95,250.6,241.55,246.35,246,246.14,24694397,6078336640.3,190917,6661505,26.98
YESBANK,EQ,16-Oct-2018,246,247,251.4,245.6,249.25,248.9,248.66,18099074,4500445413.65,142759,5699810,31.49
YESBANK,EQ,17-Oct-2018,248.9,252.5,254.85,228.5,233,231.9,237.2,37767849,8958572576.75,325820,9722941,25.74
YESBANK,EQ,19-Oct-2018,231.9,225,230.55,213,219.35,217.9,219.32,50336402,11039920621.2,371039,14983307,29.77
YESBANK,EQ,22-Oct-2018,217.9,221,222.35,208.5,213.1,211.5,212.81,33633639,7157469965.45,276577,7510000,22.33
YESBANK,EQ,23-Oct-2018,211.5,209,216.7,206.5,215.1,213.2,212.47,28293781,6011594104.75,207533,8388514,29.65
YESBANK,EQ,24-Oct-2018,213.2,217.5,220,202,204.35,204,208.49,38009322,7924414361.45,289516,9754171,25.66
YESBANK,EQ,25-Oct-2018,204,202.6,207.5,195,198.95,198.35,201.39,59170164,11916016396.8,434892,14777227,24.97
YESBANK,EQ,26-Oct-2018,198.35,178.55,191.65,168.6,181.2,180.7,185.13,95760078,17728004758.1,573048,34470584,36
YESBANK,EQ,29-Oct-2018,180.7,185,185.9,174.75,180.8,181.3,179.44,52331613,9390200473.3,390848,16321018,31.19
YESBANK,EQ,30-Oct-2018,181.3,182,189.9,180.65,182.6,182.05,184.67,43428186,8020083285.7,298464,14104066,32.48
YESBANK,EQ,31-Oct-2018,182.05,185,189.5,179.65,188.35,188.1,184.51,53264490,9828071686.7,333341,20742681,38.94
YESBANK,EQ,01-Nov-2018,188.1,192,205.75,189.05,205.6,204.05,199.88,69202992,13832375277.25,463212,15071598,21.78
YESBANK,EQ,02-Nov-2018,204.05,212.75,215.9,207.65,209,209.1,212.29,51686587,10972331018,387175,10692440,20.69
YESBANK,EQ,05-Nov-2018,209.1,209,212.35,206.1,210.8,210.1,209.41,21134350,4425803976.8,152861,3202374,15.15
YESBANK,EQ,06-Nov-2018,210.1,212.25,217.9,211,214.7,214.45,214.75,26924066,5781996721.65,182161,4621355,17.16
YESBANK,EQ,07-Nov-2018,214.45,217.45,218,215.5,215.8,215.95,216.24,3962712,856904643,45649,1401657,35.37
