Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-10-14,140.35,141.5,139.69,141.5,5653100.0,0.0,1.0,116.21461935501,117.16685884384,115.66811669185,117.16685884384,5653100.0
2010-10-13,139.91,141.48,139.78,140.37,8784300.0,0.0,1.0,115.85028424623,117.15029815708,115.74263978228,116.23118004177,8784300.0
2010-10-12,138.4,139.99,138.27,139.85,5637300.0,0.0,1.0,114.59995239567,115.91652699328,114.49230793172,115.80060218595,5637300.0
2010-10-11,138.79,139.94,138.64,139.66,4004300.0,0.0,1.0,114.92288578754,115.87512527638,114.79868063682,115.6432756617,4004300.0
2010-10-08,138.4,139.09,138.06,138.85,4540800.0,0.0,1.0,114.59995239567,115.17129608898,114.31842072071,114.97256784783,4540800.0
2010-10-07,137.92,138.88,137.52,138.72,6440800.0,0.0,1.0,114.20249591338,114.99740887797,113.87128217813,114.86492338387,6440800.0
2010-10-06,136.88,137.96,136.83,137.84,4783000.0,0.0,1.0,113.34134020173,114.2356172869,113.29993848483,114.13625316633,4783000.0
2010-10-05,136.18,137.9015,136.12,137.66,6202500.0,0.0,1.0,112.76171616505,114.18717727812,112.71203410476,113.98720698547,6202500.0
2010-10-04,135.23,135.92,134.39,135.25,4059900.0,0.0,1.0,111.97508354384,112.54642723714,111.27953469982,111.9916442306,4059900.0
2010-10-01,135.51,136.28,135.09,135.64,5621200.0,0.0,1.0,112.20693315851,112.84451959886,111.8591587365,112.31457762247,5621200.0
2010-09-30,135.5,136.11,133.67,134.14,6425800.0,0.0,1.0,112.19865281513,112.70375376138,110.68334997637,111.07252611529,6425800.0
2010-09-29,134.4,135.805,134.34,135.48,5151200.0,0.0,1.0,111.2878150432,112.45120328826,111.23813298291,112.18209212837,5151200.0
2010-09-28,134.67,135.14,133.71,134.89,7481300.0,0.0,1.0,111.51138431449,111.90056045341,110.7164713499,111.69355186888,7481300.0
2010-09-27,133.51,135.0,133.51,134.65,6155400.0,0.0,1.0,110.55086448227,111.78463564607,110.55086448227,111.49482362773,6155400.0
2010-09-24,132.42,134.15,132.34,134.11,7122400.0,0.0,1.0,109.64830705372,111.08080645867,109.58206430667,111.04768508514,7122400.0
2010-09-23,131.42,132.78,131.22,131.67,3898800.0,0.0,1.0,108.8202727156,109.94639941545,108.65466584798,109.02728130013,3898800.0
2010-09-22,131.61,132.58,131.4,132.57,4922400.0,0.0,1.0,108.97759923985,109.78079254782,108.80371202884,109.77251220444,4922400.0
2010-09-21,131.45,132.8,130.78,131.98,5267900.0,0.0,1.0,108.84511374575,109.96296010221,108.29033073921,109.28397194495,5267900.0
2010-09-20,130.24,132.09,130.11,131.79,7145500.0,0.0,1.0,107.84319219662,109.37505572214,107.73554773267,109.12664542071,7145500.0
2010-09-17,129.92,130.6,129.7,130.19,10397400.0,0.0,1.0,107.57822120842,108.14128455835,107.39605365404,107.80179047972,10397400.0
2010-09-16,129.2,129.95,128.8,129.67,4685000.0,0.0,1.0,106.98203648498,107.60306223857,106.65082274973,107.37121262389,4685000.0
2010-09-15,128.65,129.96,128.54,129.43,4762500.0,0.0,1.0,106.52661759901,107.61134258195,106.43553382182,107.17248438275,4762500.0
2010-09-14,128.43,129.92,128.43,128.85,4850500.0,0.0,1.0,106.34445004463,107.57822120842,106.34445004463,106.69222446664,4850500.0
2010-09-13,128.63,130.0,128.52,129.61,5271300.0,0.0,1.0,106.51005691225,107.64446395547,106.41897313506,107.32153056361,5271300.0
2010-09-10,126.99,128.29,126.26,127.99,4418700.0,0.0,1.0,105.15208059774,106.22852523729,104.54761553091,105.98011493585,4418700.0
2010-09-09,127.27,127.57,126.15,126.36,3436700.0,0.0,1.0,105.38393021241,105.63234051384,104.45653175372,104.63041896472,3436700.0
2010-09-08,126.02,126.5199,125.39,126.08,4477500.0,0.0,1.0,104.34888728976,104.76282165539,103.82722565675,104.39856935005,4477500.0
2010-09-07,126.99,127.36,125.8801,125.95,4353300.0,0.0,1.0,105.15208059774,105.45845330284,104.23304528586,104.29092488609,4353300.0
2010-09-03,126.22,127.6,125.9001,127.58,5142900.0,0.0,1.0,104.51449415738,105.65718154399,104.24960597262,105.64062085723,5142900.0
2010-09-02,126.03,126.23,124.65,125.04,5103300.0,0.0,1.0,104.35716763314,104.52277450077,103.21448024654,103.5374136384,5103300.0
2010-09-01,125.31,126.31,124.52,125.77,5623100.0,0.0,1.0,103.7609829097,104.58901724781,103.10683578258,104.14187870523,5623100.0
2010-08-31,123.31,123.99,122.28,123.13,5624200.0,0.0,1.0,102.10491423346,102.66797758338,101.2520388652,101.9558680526,5624200.0
2010-08-30,125.08,125.2699,123.4,123.4,3604000.0,0.0,1.0,103.57053501193,103.72777873274,102.17943732389,102.17943732389,3604000.0
2010-08-27,123.83,124.8,122.42,124.73,6214200.0,0.0,1.0,102.53549208928,103.33868539726,101.36796367253,103.28072299359,6214200.0
2010-08-26,125.78,125.78,122.78,122.78,7746600.0,0.0,1.0,104.15015904861,104.15015904861,101.66605603425,101.66605603425,7746600.0
2010-08-25,124.57,125.6,124.0,125.27,5235300.0,0.0,1.0,103.14823749949,104.00111286775,102.67625792676,103.72786153617,5235300.0
2010-08-24,125.21,126.02,124.57,124.9,5621200.0,0.0,1.0,103.67817947588,104.34888728976,103.14823749949,103.42148883107,5621200.0
2010-08-23,127.57,128.03,126.44,126.47,4034400.0,0.0,1.0,105.63234051384,106.01323630938,104.69666171177,104.72150274191,4034400.0
2010-08-20,128.72,128.98,126.96,127.5,6246300.0,0.0,1.0,106.58458000268,106.79986893059,105.12723956759,105.57437811018,6246300.0
2010-08-19,128.67,129.59,128.02,128.9,5402400.0,0.0,1.0,106.54317828578,107.30496987685,106.004955966,106.73362618354,5402400.0
2010-08-18,128.87,130.195,127.8,129.3925,4883200.0,0.0,1.0,106.7087851534,107.80593065141,105.82278841161,107.14143309507,4883200.0
2010-08-17,128.83,129.85,127.905,128.45,4298300.0,0.0,1.0,106.67566377987,107.52025880476,105.90973201711,106.36101073139,4298300.0
2010-08-16,127.47,128.23,126.96,127.77,4009200.0,0.0,1.0,105.54953708003,106.178843177,105.12723956759,105.79794738147,4009200.0
2010-08-13,127.96,128.46,127.33,127.87,4669400.0,0.0,1.0,105.95527390571,106.36929107477,105.4336122727,105.88075081528,4669400.0
2010-08-12,127.69,128.78,127.52,128.3,5132200.0,0.0,1.0,105.73170463442,106.63426206297,105.59093879694,106.23680558067,5132200.0
2010-08-11,130.69,130.69,129.461,129.83,6316100.0,0.0,1.0,108.21580764878,108.21580764878,107.19815344723,107.50369811799,6316100.0
2010-08-10,131.18,132.49,130.77,131.84,5471700.0,0.0,1.0,108.62154447445,109.70626945739,108.28205039583,109.16804713761,5471700.0
2010-08-09,130.79,132.34,130.4,132.0,6131700.0,0.0,1.0,108.29861108259,109.58206430667,107.97567769072,109.30053263171,6131700.0
