"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"YESBANK","EQ","25-Jul-2017","       1593.25","       1596.70","       1623.70","       1586.10","       1615.50","       1617.85","       1606.94","    2565352","          4122370168.30","      90573","    1053782","         41.08"
"YESBANK","EQ","26-Jul-2017","       1617.85","       1624.70","       1724.00","       1605.25","       1722.00","       1711.95","       1678.12","    8549142","         14346471967.70","     188328","    1265263","         14.80"
"YESBANK","EQ","27-Jul-2017","       1711.95","       1747.25","       1798.00","       1742.00","       1783.00","       1785.85","       1779.79","   11808681","         21016953265.70","     251839","    3111924","         26.35"
"YESBANK","EQ","28-Jul-2017","       1785.85","       1765.00","       1861.00","       1765.00","       1844.95","       1841.85","       1824.71","    8553332","         15607328966.10","     192372","    1421450","         16.62"
"YESBANK","EQ","31-Jul-2017","       1841.85","       1850.00","       1858.00","       1803.15","       1811.90","       1809.50","       1818.47","    4353547","          7916793241.90","     132231","    1534931","         35.26"
"YESBANK","EQ","01-Aug-2017","       1809.50","       1818.70","       1838.00","       1809.15","       1829.00","       1827.25","       1827.21","    2910564","          5318223689.10","      91094","     856872","         29.44"
"YESBANK","EQ","02-Aug-2017","       1827.25","       1830.00","       1842.95","       1813.05","       1820.55","       1829.00","       1830.48","    2013175","          3685081276.70","      69383","     628339","         31.21"
"YESBANK","EQ","03-Aug-2017","       1829.00","       1822.00","       1828.90","       1772.30","       1784.55","       1785.45","       1794.30","    2997605","          5378597170.85","     107179","    1136995","         37.93"
"YESBANK","EQ","04-Aug-2017","       1785.45","       1770.00","       1815.25","       1763.55","       1815.25","       1807.95","       1785.66","    2860985","          5108742494.45","      86227","     901210","         31.50"
"YESBANK","EQ","07-Aug-2017","       1807.95","       1810.00","       1817.00","       1793.75","       1798.50","       1799.85","       1805.37","    1331197","          2403307232.55","      47615","     326779","         24.55"
"YESBANK","EQ","08-Aug-2017","       1799.85","       1799.00","       1802.00","       1754.00","       1763.00","       1763.55","       1770.30","    2329546","          4123995981.90","     108756","     835487","         35.86"
"YESBANK","EQ","09-Aug-2017","       1763.55","       1756.00","       1774.45","       1736.00","       1737.20","       1741.55","       1754.25","    1982487","          3477769804.35","      81711","     407836","         20.57"
"YESBANK","EQ","10-Aug-2017","       1741.55","       1741.55","       1744.20","       1710.10","       1733.00","       1730.10","       1730.36","    2132127","          3689348024.45","      77925","     686065","         32.18"
"YESBANK","EQ","11-Aug-2017","       1730.10","       1707.00","       1757.30","       1702.15","       1740.00","       1739.40","       1736.59","    3102129","          5387120387.55","     100776","    1082480","         34.89"
"YESBANK","EQ","14-Aug-2017","       1739.40","       1752.00","       1786.00","       1750.20","       1775.50","       1778.50","       1771.83","    1985201","          3517438137.40","      77435","     612392","         30.85"
"YESBANK","EQ","16-Aug-2017","       1778.50","       1784.05","       1789.00","       1732.00","       1760.95","       1761.85","       1751.13","    3744611","          6557291201.35","      95789","    1649969","         44.06"
"YESBANK","EQ","17-Aug-2017","       1761.85","       1779.00","       1779.00","       1729.30","       1738.50","       1738.10","       1754.40","    1913591","          3357208666.15","      67175","     381913","         19.96"
"YESBANK","EQ","18-Aug-2017","       1738.10","       1734.90","       1737.30","       1708.30","       1716.80","       1720.75","       1721.62","    1678905","          2890431210.00","      85992","     558304","         33.25"
"YESBANK","EQ","21-Aug-2017","       1720.75","       1721.00","       1753.00","       1710.10","       1714.00","       1716.70","       1730.96","    1432922","          2480336750.45","      45656","     228890","         15.97"
"YESBANK","EQ","22-Aug-2017","       1716.70","       1732.00","       1732.00","       1686.00","       1714.50","       1712.90","       1709.95","    2753748","          4708761688.10","     105017","     762795","         27.70"
"YESBANK","EQ","23-Aug-2017","       1712.90","       1718.70","       1728.00","       1697.60","       1725.45","       1723.25","       1715.28","    2243348","          3847976882.05","     105936","     804291","         35.85"
"YESBANK","EQ","24-Aug-2017","       1723.25","       1727.80","       1738.95","       1714.40","       1725.00","       1719.45","       1724.98","    1773053","          3058482843.95","      69337","     539518","         30.43"
"YESBANK","EQ","28-Aug-2017","       1719.45","       1723.00","       1757.80","       1711.60","       1757.00","       1753.35","       1740.83","    1949997","          3394621357.90","      92599","     620410","         31.82"
"YESBANK","EQ","29-Aug-2017","       1753.35","       1752.00","       1753.35","       1716.05","       1718.00","       1721.55","       1733.24","    1762697","          3055170414.05","      57581","     489595","         27.78"
"YESBANK","EQ","30-Aug-2017","       1721.55","       1731.55","       1765.00","       1731.05","       1750.00","       1752.10","       1751.97","    1972851","          3456383704.05","      59323","     526799","         26.70"
"YESBANK","EQ","31-Aug-2017","       1752.10","       1750.00","       1774.40","       1745.05","       1754.00","       1753.05","       1759.14","    2566761","          4515288595.80","      80122","     960876","         37.44"
"YESBANK","EQ","01-Sep-2017","       1753.05","       1753.35","       1780.00","       1753.35","       1770.50","       1776.45","       1770.29","    1599414","          2831428045.05","      68567","     549412","         34.35"
"YESBANK","EQ","04-Sep-2017","       1776.45","       1770.50","       1779.65","       1737.05","       1757.90","       1764.10","       1761.13","    1720102","          3029330993.60","      67763","     487109","         28.32"
"YESBANK","EQ","05-Sep-2017","       1764.10","       1767.00","       1787.80","       1765.00","       1775.00","       1778.25","       1779.20","    1612958","          2869780756.50","      50607","     390951","         24.24"
"YESBANK","EQ","06-Sep-2017","       1778.25","       1770.00","       1804.80","       1762.30","       1793.95","       1793.95","       1788.65","    1886851","          3374923298.10","      74184","     561710","         29.77"
"YESBANK","EQ","07-Sep-2017","       1793.95","       1801.80","       1819.00","       1792.40","       1796.00","       1800.00","       1806.18","    1779055","          3213290672.20","      63291","     526599","         29.60"
"YESBANK","EQ","08-Sep-2017","       1800.00","       1807.00","       1807.70","       1780.25","       1786.00","       1789.00","       1793.01","    1080596","          1937519877.80","      47120","     283063","         26.20"
"YESBANK","EQ","11-Sep-2017","       1789.00","       1796.25","       1865.75","       1794.25","       1846.00","       1842.05","       1837.52","    3341236","          6139590661.70","     100376","    1210817","         36.24"
"YESBANK","EQ","12-Sep-2017","       1842.05","       1854.90","       1858.85","       1822.00","       1853.00","       1850.75","       1843.91","    2135213","          3937132885.55","      79104","     616003","         28.85"
"YESBANK","EQ","13-Sep-2017","       1850.75","       1852.00","       1862.00","       1832.60","       1839.05","       1839.00","       1845.99","    1374376","          2537088474.30","      55121","     401622","         29.22"
"YESBANK","EQ","14-Sep-2017","       1839.00","       1845.40","       1866.00","       1840.20","       1851.60","       1851.55","       1855.01","    1270184","          2356205512.40","      55618","     511506","         40.27"
"YESBANK","EQ","15-Sep-2017","       1851.55","       1828.40","       1859.00","       1827.30","       1840.05","       1845.05","       1843.18","    1632078","          3008212643.30","      65566","     880085","         53.92"
"YESBANK","EQ","18-Sep-2017","       1845.05","       1852.10","       1872.00","       1851.00","       1858.00","       1859.15","       1862.52","    1424165","          2652542424.65","      53441","     630522","         44.27"
"YESBANK","EQ","19-Sep-2017","       1859.15","       1861.40","       1872.00","       1847.15","       1865.00","       1866.50","       1861.45","    1124478","          2093159316.85","      44785","     398182","         35.41"
"YESBANK","EQ","20-Sep-2017","       1866.50","       1865.00","       1886.00","       1861.00","       1878.40","       1880.10","       1878.94","    1209930","          2273380095.25","      38993","     499588","         41.29"
"YESBANK","EQ","21-Sep-2017","       1880.10","        375.30","        382.90","        373.35","        377.20","        377.05","        378.74","    7307710","          2767753344.75","      93264","    2989311","         40.91"
"YESBANK","EQ","22-Sep-2017","        377.05","        376.80","        376.80","        359.45","        361.45","        360.65","        363.00","   12176561","          4420126898.40","     156464","    6430087","         52.81"
"YESBANK","EQ","25-Sep-2017","        360.65","        361.00","        363.70","        349.00","        360.70","        359.60","        356.23","    9426506","          3357995937.95","     142214","    4022155","         42.67"
"YESBANK","EQ","26-Sep-2017","        359.60","        361.00","        363.00","        355.70","        360.55","        360.75","        359.52","    6184763","          2223554432.25","     106126","    2681126","         43.35"
"YESBANK","EQ","27-Sep-2017","        360.75","        364.90","        364.90","        350.75","        352.70","        353.20","        356.81","    8301438","          2962066859.15","     186992","    4296839","         51.76"
